Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
8,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,5,1,Screen 1,buttonC,response_button_text,3949.6,nusto,1,0,1,0,,,,recognition_A,,1,recog-trial,solly,monster.PNG,nusty,solla,nusto,solly,nusty.mp3,solla.mp3,nusto.mp3,solly.mp3
9,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,6,1,Screen 1,buttonB,response_button_text,1309.5,rafar,1,0,1,0,,,,recognition_A,,1,recog-trial,dester,tree.PNG,rafer,rafar,destor,dester,rafer.mp3,rafar.mp3,destor.mp3,dester.mp3
10,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,7,1,Screen 1,buttonD,response_button_text,2418.7,ballew,1,0,1,0,,,,recognition_A,,1,recog-trial,nusty,food.PNG,nusto,ballow,nusty,ballew,nusto.mp3,ballow.mp3,nusty.mp3,ballew.mp3
11,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,8,1,Screen 1,buttonB,response_button_text,1573.3,femad,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
12,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,9,1,Screen 1,buttonB,response_button_text,1242.5,wabon,1,1,0,0,,,,recognition_A,,1,recog-trial,wabon,backpack.PNG,tabric,wabon,wabin,tabroc,tabric.mp3,wabon.mp3,wabin.mp3,tabroc.mp3
13,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,10,1,Screen 1,buttonD,response_button_text,1775.1,peflin,1,1,0,0,,,,recognition_A,,1,recog-trial,peflin,drink.PNG,peflun,regby,regbo,peflin,peflun.mp3,regby.mp3,regbo.mp3,peflin.mp3
14,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,11,1,Screen 1,buttonB,response_button_text,1091,tesdar,1,0,1,0,,,,recognition_A,,1,recog-trial,regby,car.PNG,regby,tesdar,tesdor,regbo,regby.mp3,tesdar.mp3,tesdor.mp3,regbo.mp3
15,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,12,1,Screen 1,buttonD,response_button_text,2970.3,femod,1,1,0,0,,,,recognition_A,,1,recog-trial,femod,hoverboard.PNG,wabin,femad,wabon,femod,wabin.mp3,femad.mp3,wabon.mp3,femod.mp3
16,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,13,1,Screen 1,buttonB,response_button_text,1002.8,pungos,1,0,1,0,,,,recognition_A,,1,recog-trial,pungus,dragon.PNG,solly,pungos,pungus,solla,solly.mp3,pungos.mp3,pungus.mp3,solla.mp3
17,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,14,1,Screen 1,buttonA,response_button_text,2075.8,destor,1,0,1,0,,,,recognition_A,,1,recog-trial,mowel,coat.PNG,destor,mowel,dester,mowil,destor.mp3,mowel.mp3,dester.mp3,mowil.mp3
