Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
18,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,5,1,Screen 1,Zone1,content_audio,11183.9,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,femod,car.PNG,vorgal,femad,vorgil,femod,vorgal.mp3,femad.mp3,vorgil.mp3,femod.mp3
19,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,5,1,Screen 1,Zone2,content_audio,17160,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,femod,car.PNG,vorgal,femad,vorgil,femod,vorgal.mp3,femad.mp3,vorgil.mp3,femod.mp3
20,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,5,1,Screen 1,buttonD,response_button_text,19382.5,femod,1,1,0,0,,,,recognition_B,,1,recog-trial,femod,car.PNG,vorgal,femad,vorgil,femod,vorgal.mp3,femad.mp3,vorgil.mp3,femod.mp3
21,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,6,1,Screen 1,Zone2,content_audio,2793.8,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,solly,sun.PNG,regbo,solly,solla,regby,regbo.mp3,solly.mp3,solla.mp3,regby.mp3
22,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,6,1,Screen 1,buttonB,response_button_text,4248.4,solly,1,1,0,0,,,,recognition_B,,1,recog-trial,solly,sun.PNG,regbo,solly,solla,regby,regbo.mp3,solly.mp3,solla.mp3,regby.mp3
23,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,7,1,Screen 1,Zone3,content_audio,3935.2,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,pungus,coat.PNG,pungus,pungos,dester,destor,pungus.mp3,pungos.mp3,dester.mp3,destor.mp3
24,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,7,1,Screen 1,Zone4,content_audio,5759,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,pungus,coat.PNG,pungus,pungos,dester,destor,pungus.mp3,pungos.mp3,dester.mp3,destor.mp3
25,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,7,1,Screen 1,buttonC,response_button_text,10140.4,dester,1,0,1,0,,,,recognition_B,,1,recog-trial,pungus,coat.PNG,pungus,pungos,dester,destor,pungus.mp3,pungos.mp3,dester.mp3,destor.mp3
26,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,8,1,Screen 1,Zone4,content_audio,2159.6,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,dester,flower.PNG,destor,rafer,dester,rafar,destor.mp3,rafer.mp3,dester.mp3,rafar.mp3
27,1.54394E+12,04/12/2018 15:31,1.54394E+12,0,04/12/2018 15:31,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,8,1,Screen 1,Zone2,content_audio,4409.7,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,dester,flower.PNG,destor,rafer,dester,rafar,destor.mp3,rafer.mp3,dester.mp3,rafar.mp3
28,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,8,1,Screen 1,buttonB,response_button_text,6998.4,rafer,1,0,1,0,,,,recognition_B,,1,recog-trial,dester,flower.PNG,destor,rafer,dester,rafar,destor.mp3,rafer.mp3,dester.mp3,rafar.mp3
29,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,9,1,Screen 1,Zone1,content_audio,1820.4,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,vorgal,backpack.PNG,vorgil,peflin,peflun,vorgal,vorgil.mp3,peflin.mp3,peflun.mp3,vorgal.mp3
